SITE,CORE,SP,DBH,5YI,10YI,BHAGE
SU3,3,PSME,64.8,1.2,2.5,80
SU3,2,PSME,65,1,2.4,77
SU3,1,PSME,78.2,0.8,2,76
SU4,2,PSME,132,1.7,3.2,96
SU4,3,PSME,59,0.5,1.3,83
SU4,1,PSME,96,1.7,3.6,82
SU4,4,PSME,58.1,0.3,1.4,75
SU5,1,PSME,91.7,1.3,3,82
SU5,3,PSME,72,1,2.3,77
SU5,2,PSME,58.1,1.1,2.4,74
SU6,2,PSME,137.5,0.7,2.1,104
SU6,4,ALRU,41.7,0.2,0.5,90
SU6,5,ALRU,28.4,0.1,0.2,88
SU6,6,ALRU,41.5,0.5,1.2,88
SU6,1,PSME,93.2,2,4.5,68
SU6,3,PSME,72.8,0.6,1.3,67
SU7,1,PSME,90.8,0.6,1.3,87
SU7,2,PSME,79.2,1.1,2.3,84
SU8,1,PSME,118,0.7,1.9,72
SU8,2,PSME,88.3,2.2,4.4,60
SU8,3,PSME,76.1,1.8,4.4,54
